Week,s_w_personal_other,s_w_travel,s_w_pr_media_analyst,s_w_internal,s_w_customers_partners,s_w_emc_federation,s_w_board_airwatch,s_w_csb_virtustream
1,13.7931,40.3183,2.122016,16.71087,18.03714,9.018568,0,0
2,24.73118,11.46953,18.63799,18.63799,5.376344,21.14695,0,0
3,24.29577,6.338028,14.08451,32.74648,13.02817,8.098592,1.408451,0
4,1.269841,13.33333,23.80952,55.23809,4.126984,1.587302,0,0.6349207
5,15.68627,20.39216,7.058824,17.2549,35.29412,4.313725,0,0
6,23.73737,2.525253,4.040404,48.9899,6.565657,14.14141,0,0
7,23.07692,6.477733,2.834008,27.53036,23.88664,14.5749,1.619433,0
8,8.494208,10.42471,3.861004,26.25483,4.633204,46.33205,0,0
9,2.605863,50.16286,4.885993,10.09772,32.24756,0,0,0
10,8.227848,32.27848,7.594937,34.17722,9.49367,8.227848,0,0
11,7.407407,27.60943,0,36.70034,21.88552,2.020202,0,4.377104
12,16.40091,43.28018,1.708428,12.30068,20.84282,3.758542,0,1.708428
13,0,46.2585,0,4.761905,40.13605,4.081633,4.761905,0
14,10.70423,30.70423,3.098592,29.01408,16.05634,9.295774,0,1.126761
15,1.916933,39.9361,16.61342,16.93291,23.32268,0,0,1.277955
16,6.963789,23.39833,15.87744,18.10585,11.14206,18.9415,1.114206,4.456824
16,7.692307,34.61538,0,0,15.38461,38.46154,3.846154,0
17,7.279694,26.81992,0,47.12644,7.279694,7.662835,0,3.831418
18,16.82243,21.26168,7.476635,32.47663,11.4486,2.803738,2.102804,5.607477
19,2.185792,34.153,25.13661,8.74317,25.40984,1.092896,0,3.278688
20,38.1323,3.891051,0.7782101,19.06615,3.891051,9.338521,23.3463,1.55642
