Week,s_w_personal_other,s_w_travel,s_w_pr_media_analyst,s_w_internal,s_w_customers_partners,s_w_parent,s_w_old_acquisition,s_w_new_acquisition,s_w_topicalmtg
1,13.48315,37.92135,2.247191,8.146068,19.10112,9.550562,0,0,9.550562
2,23.63636,11.63636,18.90909,12,5.454545,21.45455,0,0,6.909091
3,23.21428,6.428571,14.28571,26.42857,13.21429,8.214286,1.428571,0,6.785714
4,0,11.33333,25,52.33333,4.333333,1.666667,0,0.6666667,4.666667
5,14.34263,20.71713,7.171315,7.968128,35.85658,4.38247,0,0,9.561753
6,22.16495,2.57732,4.123711,29.38144,6.701031,14.43299,0,0,20.61856
7,21.8107,6.584362,2.880658,16.46091,24.27983,14.81481,1.646091,0,11.52263
8,7.228916,8.433735,4.016064,22.48996,4.819277,48.19277,0,0,4.819277
9,2.909091,45.09091,5.454545,6.545455,36,0,0,0,4
10,8.609271,31.78808,5.298013,19.86755,9.933775,8.609271,0,0,15.89404
11,14.1129,29.43548,1.008065,17.94355,24.79839,3.024194,0,3.629032,6.048387
12,7.692307,34.61538,0,0,15.38461,38.46154,3.846154,0,0
13,9.855072,30.43478,3.188406,18.84058,16.52174,9.565217,0,1.15942,10.43478
14,0.6779661,38.30508,16.94915,15.25424,24.74576,0,0,1.355932,2.711864
15,6.086957,21.44928,16.52174,13.04348,11.5942,19.71014,1.15942,4.637681,5.797101
16,5.687204,23.69668,0,46.91943,4.739336,3.791469,0,4.739336,10.42654
17,16.82243,21.26168,7.476635,8.64486,11.4486,2.803738,2.102804,5.607477,23.83178
18,1.117318,33.79888,25.69832,6.145251,25.97765,1.117318,0,3.351955,2.793296
19,25.9887,31.63842,2.824859,10.73446,12.42938,3.954802,2.824859,6.779661,2.824859
20,15.10791,11.15108,3.23741,14.38849,15.46763,9.712231,0,29.4964,1.438849
21,17.50973,5.447471,5.836576,21.78988,10.89494,24.12451,0,5.836576,8.560311
22,9.67742,24.51613,0.6451613,14.83871,40,4.83871,0,2.580645,2.903226
23,19.04762,16.78004,14.51247,14.73923,6.122449,7.709751,1.587302,4.988662,14.51247
24,14.7482,4.316547,6.47482,11.51079,16.18705,8.633094,1.079137,26.25899,10.79137
25,14.24419,18.02326,14.24419,18.60465,8.139535,5.523256,1.744186,16.56977,2.906977
26,0,35.4067,0,0.9569378,26.31579,24.88038,0,12.44019,0
